,AKP,CHP,MHP,HDP,OTHERS
AKPP11,39.21486981,1.414050257,3.280478665,4.816517513,1.156781405
CHPP11,1.043035034,21.83025843,0.516086616,0.797780963,0.793928321
MHPP11,0.103928878,0.313613189,12.32326038,0.214540342,0.026418154
HDPP11,0.040681715,0.023997572,0.040132379,6.357171727,0.014278819
OTHERS11,0.910673803,0.742516526,0.277619612,0.30483157,3.341158915
