PROV1NAME,SEATS83,SEATS87,SEATS91,SEATS95,SEATS99,SEATS02,SEATS07,SEATS11,VOTERSEATRATIO83,VOTERSEATRATIO87,VOTERSEATRATIO91,VOTERSEATRATIO95,VOTERSEATRATIO99,VOTERSEATRATIO02,VOTERSEATRATIO07,VOTERSEATRATIO11,BOXES83,REGISTER83,VOTE83,VALID83,ANAP83,HP83,MDP83,BGM83,ANAPP83,HPP83,MDPP83,BGMP83,TURNOUT83,EFFECTIVE83,COMPETITIVE83,DISPROP83,ANAPSEAT83,HPSEAT83,MDPSEAT83,BOXES87,REGISTER87,VOTE87,VALID87,ANAP87,SHP87,DYP87,DSP87,RP87,MCP87,IDP87,BGM87,ANAPP87,SHPP87,DYPP87,DSPP87,RPP87,MCPP87,IDPP87,BGMP87,TURNOUTP87,VOLATILITYP87,INCUMBENT87,EFFECTIVE87,COMPETITIVE87,DISPROP87,ANAPSEAT87,SHPSEAT87,DYPSEAT87,BOXES91,REGISTER91,VOTE91,VALID91,DYP91,ANAP91,SHP91,RP91,DSP91,SP91,BGM91,DYPP91,ANAPP91,SHPP91,RPP91,DSPP91,SPP91,BGMP91,TURNOUT91,VOLATILITY91,INCUMBENT91,EFFECTIVE91,COMPETITIVE91,DISPROP91,DYPSEAT91,ANAPSEAT91,SHPSEAT91,RPSEAT91,DSPSEAT91,BOXES95,REGISTER95,VOTE95,VALID95,RP95,DYP95,ANAP95,DSP95,CHP95,HADEP95,IP95,MHP95,MP95,YDH95,YDP95,YENI95,BGM95,RPP95,DYPP95,ANAPP95,DSPP95,CHPP95,HADEPP95,IPP95,MHPP95,MPP95,YDHP95,YDPP95,YENIP95,BGMP95,TURNOUT95,VOLATILITY95,INCUMBENT95,EFFECTIVE95,COMPETITIVE95,DISPROP95,RPSEAT95,DYPSEAT95,ANAPSEAT95,DSPSEAT95,CHPSEAT95,BOXES99,REGISTER99,VOTE99,VALID99,DSP99,MHP99,FP99,ANAP99,DYP99,BP99,BBP99,CHP99,DP99,DBP99,DTP99,DEPAR99,EMEP99,HADEP99,IP99,LDP99,MP99,ODP99,SIP99,YDP99,BGM99,DSPP99,MHPP99,FPP99,ANAPP99,DYPP99,BPP99,BBPP99,CHPP99,DPP99,DBPP99,DTPP99,DEPARP99,EMEPP99,HADEPP99,IPP99,LDPP99,MPP99,ODPP99,SIPP99,YDPP99,BGMP99,TURNOUT99,VOLATILITY99,INCUMBENT99,EFFECTIVE99,COMPETITIVE99,DISPROP99,DSPSEAT99,MHPSEAT99,FPSEAT99,ANAPSEAT99,DYPSEAT99,BGMSEAT99,BOXES02,REGISTER02,VOTE02,VALID02,AKP02,CHP02,ANAP02,BBP02,BTP02,DEHAP02,DSP02,DYP02,GP02,IP02,LDP02,MP02,MHP02,ODP02,SP02,TKP02,YP02,YTP02,BGM02,AKPP02,CHPP02,ANAPP02,BBPP02,BTPP02,DEHAPP02,DSPP02,DYPP02,GPP02,IPP02,LDPP02,MPP02,MHPP02,ODPP02,SPP02,TKPP02,YPP02,YTPP02,BGMP02,TURNOUT02,VOLATILITY02,INCUMBENT02,EFFECTIVE02,COMPETITIVE02,DISPROP02,AKPSEAT02,CHPSEAT02,BGMSEAT02,BOXES07,REGISTER07,VOTE07,VALID07,AKP07,CHP07,MHP07,DP07,GP07,SP07,BTP07,HYP07,IP07,ATP07,TKP07,ODP07,LDP07,EMEP07,BGM07,AKPP07,CHPP07,MHPP07,DPP07,GPP07,SPP07,BTPP07,HYPP07,IPP07,ATPP07,TKPP07,ODPP07,LDPP07,EMEPP07,BGMP07,DTPP07,NONDTPBGMP07,TURNOUT07,VOLATILITY07,INCUMBENT07,EFFECTIVE07,COMPETITIVE07,DISPROP07,AKPSEAT07,CHPSEAT07,MHPSEAT07,BDPSEAT07,BGMSEAT07,BOXES11,REGISTER11,VOTE11,VALID11,AKP11,DP11,CHP11,EP11,MP11,LDP11,SP11,HEPAR11,HAS11,MHP11,DYP11,TKP11,MMP11,BBP11,DSP11,BDP11,IPBGM11,NONBDPIPBGM11,BGM11,AKPP11,DPP11,CHPP11,EPP11,MPP11,LDPP11,SPP11,HEPARP11,HASP11,MHPP11,DYPP11,TKPP11,MMPP11,BBPP11,DSPP11,BDPP11,IPBGMP11,NONBDPBGMPP11,BGMP11,TURNOUT11P,VOLATILITY11,INCUMBENT11,EFFECTIVE11,COMPETITIVE11,DISPROP11,AKPSEAT11,CHPSEAT11,MHPSEAT11,BDPSEAT11
DUZCE,,,,,,3,3,3,46909,57599,59827,57420,70874,64485,68399,79807,434,109993,103859,100284,56514,21278,18028,4464,56.35,21.22,17.98,4.45,91.17,2.52,35.14,27.93,0,0,0,508,140155,134472,131855,54674,19624,31593,12133,11001,2002,828,0,41.47,14.88,23.96,9.20,8.34,1.52,0.63,0.00,94.08,43.65,-14.89,3.74,17.50,30.65,0,0,0,642,148877,141409,128466,42672,37715,11255,16638,19671,515,0,33.22,29.36,8.76,12.95,15.31,0.40,0.00,86.29,20.38,-12.11,4.09,3.86,25.59,0,0,0,0,0,728,174362,155172,151416,40768,25842,36670,28093,8136,1590,290,7268,991,741,824,203,0,26.92,17.07,24.22,18.55,5.37,1.05,0.19,4.80,0.65,0.49,0.54,0.13,0.00,86.84,23.16,-19.54,5.00,2.71,9.54,0,0,0,0,0,1034,182464,167258,159541,33699,34971,34925,22441,19386,451,1609,4727,0,0,1192,227,282,1843,324,1087,413,748,185,595,436,21.12,21.92,21.89,14.07,12.15,0.28,1.01,2.96,0.00,0.00,0.75,0.14,0.18,1.16,0.20,0.68,0.26,0.47,0.12,0.37,0.27,87.44,21.66,-6.84,5.67,0.03,7.69,0,0,0,0,0,0,855,193454,165792,162409,85194,13933,8626,1227,1270,2624,1493,19618,12091,802,369,315,6392,620,5608,232,1084,911,0,52.46,8.58,5.31,0.76,0.78,1.62,0.92,12.08,7.44,0.49,0.23,0.19,3.94,0.38,3.45,0.14,0.67,0.56,0.00,83.95,48.46,-46.94,3.24,40.38,36.03,3,0,0,773,205196,185218,183331,111100,19501,19756,12320,6437,8070,1481,791,785,1629,226,346,310,411,168,60.60,10.64,10.78,6.72,3.51,4.40,0.81,0.43,0.43,0.89,0.12,0.19,0.17,0.22,0.09,0.00,0.09,89.34,17.06,8.14,2.51,49.82,30.50,3,0,0,0,0,1006,239422,217075,214077,141181,1344,26578,353,141,112,3832,291,3006,34776,429,208,173,1174,479,0,0,0,0,65.95,0.63,12.42,0.16,0.07,0.05,1.79,0.14,1.40,16.24,0.20,0.10,0.08,0.55,0.22,0.00,0.00,0.00,0.00,89.41,13.65,5.35,2.09,49.70,28.14,3,0,0,0
EDIRNE,4,4,4,4,4,4,4,3,46214,57532,63040,67309,67226,71629,69699,100203,682,184856,177520,171708,64217,70955,31651,4885,37.40,41.32,18.43,2.84,92.89,2.90,3.92,34.36,2,2,0,819,230128,222430,218640,57053,63429,43857,46660,4662,1911,970,98,26.09,29.01,20.06,21.34,2.13,0.87,0.44,0.04,95.01,44.85,-11.30,4.19,2.92,30.62,2,2,0,863,252161,225421,220495,68544,42011,44806,8413,55904,817,0,31.09,19.05,20.32,3.82,25.35,0.37,0.00,87.44,17.09,-7.04,4.17,5.73,29.63,2,0,0,0,2,1031,269234,241110,237582,12583,68602,33803,80037,29060,1982,443,9055,471,712,659,175,0,5.30,28.88,14.23,33.69,12.23,0.83,0.19,3.81,0.20,0.30,0.28,0.07,0.00,88.24,14.12,-10.30,4.23,4.81,23.54,0,2,0,2,0,1446,268902,245539,235534,107327,21714,8273,35067,26462,1143,975,22080,1360,363,1876,441,332,2670,405,1160,410,2740,216,329,189,45.57,9.22,3.51,14.89,11.23,0.49,0.41,9.37,0.58,0.15,0.80,0.19,0.14,1.13,0.17,0.49,0.17,1.16,0.09,0.14,0.08,87.59,21.66,13.34,3.83,30.68,25.34,3,0,0,1,0,0,1112,286516,239419,232052,20257,66877,9829,1269,607,2041,9261,38250,43109,1682,681,818,21889,1530,4569,566,4308,4391,118,8.73,28.82,4.24,0.55,0.26,0.88,3.99,16.48,18.58,0.72,0.29,0.35,9.43,0.66,1.97,0.24,1.86,1.89,0.05,80.99,51.15,-52.02,6.03,10.24,39.69,1,3,0,992,278795,245381,243044,50368,87081,40903,23259,30471,4020,767,999,1142,1343,353,988,0,553,797,20.72,35.83,16.83,9.57,12.54,1.65,0.32,0.41,0.47,0.55,0.15,0.41,0.00,0.23,0.33,0.00,0.33,87.18,21.26,11.99,4.45,15.11,16.41,1,2,1,0,0,1194,300609,268747,264106,80251,2486,136532,1050,351,144,2417,1381,1084,35152,680,430,267,407,1188,0,0,286,286,30.39,0.94,51.70,0.40,0.13,0.05,0.92,0.52,0.41,13.31,0.26,0.16,0.10,0.15,0.45,0.00,0.00,0.11,0.11,87.86,26.48,9.66,2.65,21.31,14.36,1,2,0,0
ELAZIG,4,5,4,5,5,5,5,5,41934,44559,64636,57895,62301,69266,71325,75661,898,167736,147863,139712,81919,30739,27054,0,58.63,22.00,19.36,0.00,83.29,2.33,36.63,20.40,4,0,0,1029,222796,207609,201188,47434,38026,62670,7264,35427,7458,2909,0,23.58,18.90,31.15,3.61,17.61,3.71,1.45,0.00,90.30,57.52,-35.06,4.50,7.57,29.99,2,0,3,1092,258542,209221,202611,68275,38005,31346,59271,4766,948,0,33.70,18.76,15.47,29.25,2.35,0.47,0.00,78.37,14.66,-4.82,3.86,4.44,25.43,2,0,0,2,0,1374,289474,236441,229325,95948,55121,27458,4308,18061,8970,378,15780,1235,861,672,398,135,41.84,24.04,11.97,1.88,7.88,3.91,0.16,6.88,0.54,0.38,0.29,0.17,0.06,79.22,20.44,-17.26,3.85,17.80,20.70,3,2,0,0,0,1891,311507,259127,243582,9358,33222,59622,15981,21962,1000,4629,12133,583,369,623,0,522,12027,384,492,557,817,214,547,68540,3.84,13.64,24.48,6.56,9.02,0.41,1.90,4.98,0.24,0.15,0.26,0.00,0.21,4.94,0.16,0.20,0.23,0.34,0.09,0.22,28.14,78.19,38.92,-3.19,5.65,3.66,17.02,0,1,2,0,1,1,1599,346330,254130,244056,102474,21613,5760,2215,1739,17387,922,4387,3931,638,194,246,16165,486,14449,192,729,414,50115,41.99,8.86,2.36,0.91,0.71,7.12,0.38,1.80,1.61,0.26,0.08,0.10,6.62,0.20,5.92,0.08,0.30,0.17,20.53,70.47,31.71,-14.68,4.16,21.45,28.87,4,0,1,1495,356626,272980,270479,154727,19114,17456,55955,910,10054,1336,880,397,0,795,281,293,0,8281,57.20,7.07,6.45,20.69,0.34,3.72,0.49,0.33,0.15,0.00,0.29,0.10,0.11,0.00,3.06,2.90,0.16,75.84,34.35,15.22,2.62,36.52,34.45,5,0,0,0,0,1728,378305,323432,316733,213506,1162,41742,0,301,0,7169,415,3472,45789,376,224,220,2117,240,0,0,0,0,67.41,0.37,13.18,0.00,0.10,0.00,2.26,0.13,1.10,14.46,0.12,0.07,0.07,0.67,0.08,0.00,0.00,0.00,0.00,83.72,25.36,10.20,2.03,52.95,13.60,4,0,1,0
ERZINCAN,3,3,3,4,3,3,3,2,35248,44072,48831,33461,45898,50397,48131,73259,752,105744,94408,90880,44591,33266,11393,1630,49.07,36.60,12.54,1.79,85.94,2.56,12.46,23.12,2,1,0,812,132217,117243,115721,45817,38882,11127,4734,4664,9994,503,0,39.59,33.60,9.62,4.09,4.03,8.64,0.43,0.00,87.52,26.81,-9.47,3.45,5.99,21.60,2,1,0,859,146493,112582,110339,14144,31804,36744,24296,2945,406,0,12.82,28.82,33.30,22.02,2.67,0.37,0.00,75.32,21.56,-10.77,3.85,4.48,29.92,0,1,2,0,0,918,133843,105964,103725,33532,10327,10772,1883,27729,1198,270,15270,595,248,196,134,1571,32.33,9.96,10.39,1.82,26.73,1.15,0.26,14.72,0.57,0.24,0.19,0.13,1.51,77.50,27.36,-9.43,4.56,5.59,25.35,2,0,0,0,2,1108,137695,114516,110791,8958,27745,20683,8287,15191,858,2411,20940,418,0,529,71,132,1179,173,331,187,2317,98,110,173,8.09,25.04,18.67,7.48,13.71,0.77,2.18,18.90,0.38,0.00,0.48,0.06,0.12,1.06,0.16,0.30,0.17,2.09,0.09,0.10,0.16,80.46,24.18,3.84,6.05,6.14,24.07,0,1,1,0,1,0,998,151192,110772,109431,44377,30358,4025,1131,402,1764,1093,11075,2505,535,106,132,7937,545,2544,149,270,483,0,40.55,27.74,3.68,1.03,0.37,1.61,1.00,10.12,2.29,0.49,0.10,0.12,7.25,0.50,2.32,0.14,0.25,0.44,0.00,72.38,36.52,-28.68,3.85,12.81,21.19,2,1,0,935,144392,123165,122402,66499,29282,13989,1493,740,2450,436,387,349,738,206,203,0,171,5459,54.33,23.92,11.43,1.22,0.60,2.00,0.36,0.32,0.29,0.60,0.17,0.17,0.00,0.14,4.46,0.00,4.46,84.77,22.44,13.78,2.72,30.41,14.11,2,1,0,0,0,1005,146518,129612,128263,73227,576,38921,312,28,22,1144,0,748,11938,138,105,101,902,101,0,0,0,0,57.09,0.45,30.34,0.24,0.02,0.02,0.89,0.00,0.58,9.31,0.11,0.08,0.08,0.70,0.08,0.00,0.00,0.00,0.00,87.54,9.51,2.76,2.34,26.75,16.20,1,1,0,0
ERZURUM,7,7,7,8,8,7,7,6,40549,52524,59027,52064,55332,65556,64619,80256,1540,283840,251135,240798,141642,39912,59244,0,58.82,16.57,24.60,0.00,84.84,2.30,34.22,27.69,4,1,2,1727,367671,338096,330364,135219,31384,86132,15581,32367,25112,4569,0,40.93,9.50,26.07,4.72,9.80,7.60,1.38,0.00,89.85,49.57,-17.89,3.81,14.86,34.73,6,0,1,1859,413188,317078,312583,94295,62315,28026,115794,10556,1597,0,30.17,19.94,8.97,37.04,3.38,0.51,0.00,75.65,31.85,-20.99,3.61,6.88,28.93,2,0,0,5,0,2109,416513,336718,325318,125882,50606,49571,9544,14794,19134,562,45408,1843,1125,1823,860,4166,38.70,15.56,15.24,2.93,4.55,5.88,0.17,13.96,0.57,0.35,0.56,0.26,1.28,78.11,19.27,-19.03,4.48,23.14,21.50,5,2,1,0,0,2739,442654,354021,338060,15881,88506,95610,25350,56223,0,9800,15978,1108,681,1731,0,444,20865,723,849,1024,882,472,1932,0,4.70,26.18,28.28,7.50,16.63,0.00,2.90,4.73,0.33,0.20,0.51,0.00,0.13,6.17,0.21,0.25,0.30,0.26,0.14,0.57,0.00,76.37,17.14,-5.46,5.24,2.10,14.69,0,3,3,0,2,0,2360,458895,344146,338286,184870,19495,10036,4294,1216,33291,2825,21269,7578,731,560,469,36749,0,12158,324,1402,863,156,54.65,5.76,2.97,1.27,0.36,9.84,0.84,6.29,2.24,0.22,0.17,0.14,10.86,0.00,3.59,0.10,0.41,0.26,0.05,73.72,37.18,-23.71,3.03,43.79,34.45,7,0,0,2189,452333,360074,357490,244137,16857,46971,9373,1100,11564,1915,1850,605,2944,981,0,0,0,19193,68.29,4.72,13.14,2.62,0.31,3.23,0.54,0.52,0.17,0.82,0.27,0.00,0.00,0.00,5.37,4.60,0.77,79.03,17.00,13.64,2.04,55.15,13.56,6,0,1,0,0,2452,481536,414177,409745,283638,1739,19847,0,251,0,6576,489,3067,54522,603,430,288,3612,1310,33308,0,65,33373,69.22,0.42,4.84,0.00,0.06,0.00,1.60,0.12,0.75,13.31,0.15,0.10,0.07,0.88,0.32,8.13,0.00,0.02,8.14,85.09,6.21,0.93,1.98,55.92,12.33,5,0,1,0
ESKISEHIR,5,5,5,6,6,6,6,6,56544,72486,79910,73529,74236,82072,84069,96046,1141,282720,269690,257674,131565,75454,45460,5195,51.06,29.28,17.64,2.02,91.14,2.65,21.78,30.10,3,2,0,1375,362432,349062,341722,141597,94419,66588,20195,9821,5459,3418,225,41.44,27.63,19.49,5.91,2.87,1.60,1.00,0.07,94.29,30.87,-9.62,3.44,13.81,21.49,3,2,0,1424,399551,351592,344589,117415,77894,67378,35005,45689,1208,0,34.07,22.60,19.55,10.16,13.26,0.35,0.00,86.24,29.57,-18.83,4.29,11.47,28.60,3,2,0,0,0,1689,441172,394014,387587,56079,89508,61180,96175,42494,2858,721,34378,1310,1544,1032,308,0,14.47,23.09,15.78,24.81,10.96,0.74,0.19,8.87,0.34,0.40,0.27,0.08,0.00,87.85,25.47,-19.57,5.53,1.72,13.84,1,2,1,2,0,2444,445415,410174,392510,142210,68272,38193,44630,53075,647,3732,27419,1114,0,2503,287,591,3351,535,1773,1109,2119,462,380,108,36.23,17.39,9.73,11.37,13.52,0.16,0.95,6.99,0.28,0.00,0.64,0.07,0.15,0.85,0.14,0.45,0.28,0.54,0.12,0.10,0.03,88.12,21.62,7.64,4.82,18.84,13.68,3,1,0,1,1,0,2015,492434,426417,403564,119410,91163,15053,2224,2239,5000,5788,56673,46122,2384,1375,892,35740,1189,7494,817,3706,4157,2138,29.59,22.59,3.73,0.55,0.55,1.24,1.43,14.04,11.43,0.59,0.34,0.22,8.86,0.29,1.86,0.20,0.92,1.03,0.53,81.95,50.58,-50.97,5.51,7.00,28.27,3,3,0,1890,504415,444617,437282,194494,110968,68272,30913,14364,7013,3104,2255,2079,0,650,718,626,1049,777,44.48,25.38,15.61,7.07,3.28,1.60,0.71,0.52,0.48,0.00,0.15,0.16,0.14,0.24,0.18,0.00,0.18,86.69,22.64,14.89,3.41,19.10,8.93,3,2,1,0,0,2284,576274,515119,504033,222254,5400,179072,1265,552,217,4553,2601,4202,73609,0,797,519,3622,2537,0,0,2833,2833,44.10,1.07,35.53,0.25,0.11,0.04,0.90,0.52,0.83,14.60,0.00,0.16,0.10,0.72,0.50,0.00,0.00,0.56,0.56,87.46,12.54,-0.38,2.92,8.57,4.90,3,2,1,0
GAZIANTEP,7,8,9,9,9,10,10,12,46323,54847,56955,59965,68670,68346,69651,83628,1194,284925,256837,242577,98373,86301,57903,0,40.55,35.58,23.87,0.00,85.14,2.87,4.98,23.37,3,2,2,1560,393205,371522,361796,127842,118700,58174,19216,23789,11131,2944,0,35.34,32.81,16.08,5.31,6.58,3.08,0.81,0.00,92.01,31.86,-5.22,3.75,2.53,30.71,6,2,0,1739,463856,370815,361380,95392,68646,105318,63613,26954,1457,0,26.40,19.00,29.14,17.60,7.46,0.40,0.00,77.91,23.90,-16.34,4.40,2.75,29.83,4,0,5,0,0,2102,539688,438763,422225,100286,57678,71857,68413,44108,28115,908,42758,1792,2980,1814,518,998,23.75,13.66,17.02,16.20,10.45,6.66,0.22,10.13,0.42,0.71,0.43,0.12,0.24,78.24,26.39,-31.43,6.41,6.73,12.45,3,1,2,2,1,3336,618027,521970,497143,97025,99444,78822,49369,51323,1348,8674,69568,1243,0,4248,384,638,27238,838,1259,1110,2456,453,609,1094,19.52,20.00,15.85,9.93,10.32,0.27,1.74,13.99,0.25,0.00,0.85,0.08,0.13,5.48,0.17,0.25,0.22,0.49,0.09,0.12,0.22,80.44,17.82,-2.92,6.81,0.49,15.13,2,3,2,1,1,0,2653,683464,499109,484449,193995,93033,21196,8065,5431,38737,3168,30781,34839,2148,867,1126,33617,1070,10512,692,1984,3065,123,40.04,19.20,4.38,1.66,1.12,8.00,0.65,6.35,7.19,0.44,0.18,0.23,6.94,0.22,2.17,0.14,0.41,0.63,0.03,70.88,42.61,-37.48,4.53,20.84,24.97,7,3,0,2530,696510,563526,553743,328120,97271,63030,13286,6485,7844,4042,2197,1474,0,1407,622,0,0,27965,59.25,17.57,11.38,2.40,1.17,1.42,0.73,0.40,0.27,0.00,0.25,0.11,0.00,0.00,5.05,3.70,1.35,79.50,25.09,19.21,2.52,41.69,8.62,7,2,1,0,0,3805,1003541,843849,828241,510923,5341,159961,0,1188,0,8270,1556,6779,77836,0,1336,528,7828,2085,42670,0,1940,44610,61.69,0.64,19.31,0.00,0.14,0.00,1.00,0.19,0.82,9.40,0.00,0.16,0.06,0.95,0.25,5.15,0.00,0.23,5.39,82.53,7.56,2.43,2.33,42.37,10.37,9,2,1,0
GIRESUN,5,5,4,5,5,5,5,4,39521,47981,67120,52592,54487,58207,58526,77450,885,197603,181668,173134,81778,38771,49649,2936,47.23,22.39,28.68,1.70,87.62,2.81,18.56,25.80,3,1,1,979,239904,218479,213031,89843,47169,35679,15958,14317,7850,2113,102,42.17,22.14,16.75,7.49,6.72,3.68,0.99,0.05,88.80,35.64,-5.06,3.75,20.03,22.73,3,2,0,1053,268478,216742,212150,52019,77024,34057,34612,13330,1108,0,24.52,36.31,16.05,16.31,6.28,0.52,0.00,79.02,17.89,-5.87,4.03,11.79,51.10,0,4,0,0,0,1206,262959,217364,213602,45338,30030,80307,19617,19826,2922,414,10558,1789,1060,1380,361,0,21.23,14.06,37.60,9.18,9.28,1.37,0.19,4.94,0.84,0.50,0.65,0.17,0.00,81.23,16.19,-17.23,4.42,16.37,19.20,1,1,3,0,0,1579,272436,234817,225682,48484,46552,36965,33428,30056,0,4544,14848,906,0,1514,781,391,2452,507,1409,795,1159,418,473,0,21.48,20.63,16.38,14.81,13.32,0.00,2.01,6.58,0.40,0.00,0.67,0.35,0.17,1.09,0.22,0.62,0.35,0.51,0.19,0.21,0.00,82.84,29.90,-9.81,6.24,0.86,8.29,1,1,1,1,1,0,1361,291036,225647,217958,99078,30724,14112,2474,1414,2815,3329,21718,6877,809,430,559,14970,700,4217,422,2671,953,9686,45.46,14.10,6.47,1.14,0.65,1.29,1.53,9.96,3.16,0.37,0.20,0.26,6.87,0.32,1.93,0.19,1.23,0.44,4.44,74.89,46.96,-42.05,4.01,31.36,27.00,4,1,0,1228,292632,243306,240117,123138,38842,38377,9364,3483,5795,2458,1824,828,2383,445,620,399,653,11508,51.28,16.18,15.98,3.90,1.45,2.41,1.02,0.76,0.34,0.99,0.19,0.26,0.17,0.27,4.79,0.03,4.76,82.05,16.99,5.83,3.13,35.11,8.82,3,1,1,0,0,1453,309800,264099,259991,154385,1953,61579,525,194,144,4329,596,2576,30966,518,255,285,1127,559,0,0,0,0,59.38,0.75,23.69,0.20,0.07,0.06,1.67,0.23,0.99,11.91,0.20,0.10,0.11,0.43,0.22,0.00,0.00,0.00,0.00,83.92,15.81,8.10,2.36,35.70,14.00,3,1,0,0
GUMUSHANE,3,3,2,2,2,2,2,2,32808,41143,43057,40961,43133,46357,42625,44437,418,63706,53479,52045,28453,13064,10528,0,54.67,25.10,20.23,0.00,81.70,2.48,29.57,30.57,3,0,0,436,77357,68203,66839,28808,7909,15368,3108,8144,2828,674,0,43.10,11.83,22.99,4.65,12.18,4.23,1.01,0.00,86.40,45.07,-11.57,3.68,20.11,40.66,3,0,0,484,86113,64466,63183,15891,18091,7522,19210,2238,231,0,25.15,28.63,11.91,30.40,3.54,0.37,0.00,73.37,20.82,-14.47,3.95,1.77,28.53,0,1,0,1,0,543,81922,62975,61765,19808,9499,15914,1690,4508,646,99,8579,395,191,322,81,33,32.07,15.38,25.77,2.74,7.30,1.05,0.16,13.89,0.64,0.31,0.52,0.13,0.05,75.39,16.56,-14.38,4.58,6.30,26.47,1,0,1,0,0,678,86265,73040,70655,4107,22979,16418,11572,9789,0,1093,2265,175,60,203,108,98,833,130,186,223,200,83,133,0,5.81,32.52,23.24,16.38,13.85,0.00,1.55,3.21,0.25,0.08,0.29,0.15,0.14,1.18,0.18,0.26,0.32,0.28,0.12,0.19,0.00,81.90,23.02,-6.02,4.75,9.29,27.66,0,1,1,0,0,0,587,92713,66009,64844,27538,5701,4569,950,621,666,441,8626,775,217,100,184,10759,98,3150,64,272,113,0,42.47,8.79,7.05,1.47,0.96,1.03,0.68,13.30,1.20,0.33,0.15,0.28,16.59,0.15,4.86,0.10,0.42,0.17,0.00,69.94,31.98,-30.40,4.14,25.88,44.27,2,0,0,544,85249,69927,69167,41940,5490,13322,2764,283,2979,508,485,168,646,99,103,87,167,126,60.64,7.94,19.26,4.00,0.41,4.31,0.73,0.70,0.24,0.93,0.14,0.15,0.13,0.24,0.18,0.00,0.18,81.14,21.06,18.17,2.41,41.38,31.78,2,0,0,0,0,581,88874,70838,69524,45203,444,5401,86,51,24,1703,0,647,15004,189,81,99,507,55,0,0,30,30,65.02,0.64,7.77,0.12,0.07,0.03,2.45,0.00,0.93,21.58,0.27,0.12,0.14,0.73,0.08,0.00,0.00,0.04,0.04,78.23,7.65,4.38,2.10,43.44,29.65,2,0,0,0
HAKKARI,2,2,2,2,3,3,3,3,16025,22790,28969,31719,25508,31979,34420,44910,192,32049,29452,28097,5298,12094,10705,0,18.86,43.04,38.10,0.00,87.67,2.73,4.94,10.20,0,2,0,220,45579,43171,42148,16604,10015,4543,9141,1479,165,201,0,39.39,23.76,10.78,21.69,3.51,0.39,0.48,0.00,92.47,57.38,20.54,3.68,15.63,22.28,1,1,0,252,57938,49991,48393,14329,20813,9214,3071,508,458,0,29.61,43.01,19.04,6.35,1.05,0.95,0.00,83.53,26.23,3.61,3.19,13.40,20.85,1,1,0,0,0,276,63437,55014,51560,3085,9805,6311,1007,1375,27951,124,1120,211,273,252,46,0,5.98,19.02,12.24,1.95,2.67,54.21,0.24,2.17,0.41,0.53,0.49,0.09,0.00,81.28,41.49,-26.97,2.86,35.19,51.85,0,1,1,0,0,435,76524,65646,60986,2923,1245,6049,5754,11047,420,458,3564,0,160,380,0,59,28101,65,192,293,0,161,112,3,4.79,2.04,9.92,9.43,18.11,0.69,0.75,5.84,0.00,0.26,0.62,0.00,0.10,46.08,0.11,0.31,0.48,0.00,0.26,0.18,0.00,79.70,10.86,0.66,3.70,27.96,42.06,0,0,1,1,1,0,402,95937,77662,75129,5115,6121,4109,372,161,33881,346,1134,515,66,63,138,2994,95,1477,41,233,829,17439,6.81,8.15,5.47,0.50,0.21,45.10,0.46,1.51,0.69,0.09,0.08,0.18,3.99,0.13,1.97,0.05,0.31,1.10,23.21,78.31,28.48,-6.35,3.65,21.89,42.00,1,1,1,394,103260,89867,88124,29513,3118,1633,1756,330,455,588,394,119,292,366,0,0,0,49560,33.49,3.54,1.85,1.99,0.37,0.52,0.67,0.45,0.14,0.33,0.42,0.00,0.00,0.00,56.24,50.10,6.14,85.34,33.36,26.68,2.71,16.61,26.84,2,0,0,1,0,550,134729,121199,118593,19537,228,1068,0,41,18,169,0,242,1226,54,177,77,854,242,94030,0,630,94660,16.47,0.19,0.90,0.00,0.03,0.02,0.14,0.00,0.20,1.03,0.05,0.15,0.06,0.72,0.20,79.29,0.00,0.53,79.82,88.02,29.63,-17.02,1.52,62.81,18.75,0,0,0,3
