"","AKP15","CHP15","MHP15","HDP15","OTHERS15"
"AKP11",0.760203306372821,0.0297539705397778,0.0624918258757624,0.0760841783517484,0.0710297762311142
"CHP11",0.057362872624306,0.827672334859641,0.0256706039220621,0.0467073746769016,0.0419459370587333
"HDP11",0.00466064979053508,0.0122800018383218,0.00394309428865171,0.96127976134685,0.0141287706574064
"MHP11",0.0154320293109084,0.0478008739066265,0.907841550047399,0.0154618990140487,0.0119380805670308
"OTHERS11",0.313743862680541,0.228974020508227,0.132953889804727,0.0683695673980419,0.252166121609359
